season,school,wins,adjoe,adjde,barthag,efg,efgd,tor,tord,orb,drb,ftr,ftrd,two_pct,two_pctd,three_pct,three_pctd,adj_t,wab
2008,Rice,0,"78.9
340","91.3
27",".1578
298","39.6
337","46.8
72","33.9
341","21.9
119","36
68","33.9
206","36.3
169","42.1
257","40.5
325","51.3
256","24.1
338","26.4
13","69.4
78","-4.4
290"
2020,Middle Tennessee,1,"96.5
267","108.2
291",".2115
297","46.5
278","52.2
263","18.6
179","18.4
168","27.9
174","27.7
173","32.9
168","42.8
315","44.5
317","50.6
222","32.9
194","37.4
292","70
102","-6
339"
2019,Charlotte,2,"92.8
319","103.9
194",".2153
297","49.2
252","49
100","22.7
325","16.9
258","20.1
336","26.3
113","39.1
64","34.5
216","48.9
214","47.3
73","33
223","34
153","64.9
325","-6.4
348"
2018,American,2,"90.0
343","102.0
132",".1916
297","49.8
212","52.3
224","23.1
338","24.3
9","21.7
322","30.3
228","29.2
259","36.5
250","49.7
191","52.1
249","33.3
227","35.1
165","68
211","-7.1
347"
2017,Miami OH,2,"99.3
244","111.8
300",".2029
297","51.4
154","55.9
325","21.3
309","22.3
31","28.5
192","35.8
335","40.3
88","47.4
324","51.7
114","53.8
296","33.9
211","39.2
293","69.3
177","-5.5
331"
2016,St. Francis PA,6,"101.7
221","115.7
333",".1845
297","53.5
52","51.9
242","20.1
284","17.6
197","32.7
85","27.4
99","44.9
42","31.1
65","49.4
145","53.4
315","41.3
20","32.8
107","66.7
262","-3.5
244"
2015,Coppin St.,2,"97.1
263","109.1
275",".2068
297","48
215","49.7
190","20.1
240","23.4
17","28.5
237","39.7
347","38.8
146","52
337","45.8
227","49.5
234","33.9
177","33.6
153","75.9
2","-3.9
258"
2014,UNC Wilmington,0,"100.2
250","113.4
304",".1948
297","46.9
269","52.2
258","18.4
183","17.6
205","32.4
145","35.4
297","33.8
303","51.8
316","48.1
183","48.5
185","29.3
308","39.3
299","63.1
298","-5
324"
2013,South Dakota,2,"106.1
89","121.0
346",".1799
297","56
18","56.8
337","16.8
40","14.8
336","26.3
302","33
225","33.2
223","22.6
10","48.8
120","53.3
324","47.2
4","41.7
333","66.5
132","-3.9
265"
2012,San Jose St.,1,"102.9
138","117.5
339",".1787
297","45.2
289","56.9
332","14.6
5","18.7
231","34.5
101","39
333","30.7
280","30.1
58","44.3
282","52.9
299","31.1
267","42
322","64.8
216","-5
307"
2011,Stetson,3,"95.8
275","108.6
271",".1899
297","48.2
212","55
326","22.5
286","23.3
38","31.6
199","35.3
267","42.3
102","41.4
241","51.3
77","54
319","27.8
320","37.6
260","65.4
204","-5.8
319"
2010,Nicholls St.,3,"96.9
232","110.7
314",".1773
297","50.4
104","59.8
347","19
108","23.2
46","26.5
313","27.1
27","51.8
7","62.8
346","52.5
46","56.5
345","31.8
235","45.3
347","64.7
254","-3.5
231"
2009,Dartmouth,2,"90.1
308","104.2
227",".1584
297","47.1
238","48.3
136","21.1
207","20.9
147","28.7
275","29.7
84","30.5
285","43
279","47.3
199","42.8
35","30.9
261","41.4
332","65.3
214","-4.7
280"
2008,South Dakota St.,2,"95.7
256","110.6
304",".1585
297","47.5
242","50.5
200","23
273","14
340","38.1
32","31.9
147","29.2
293","38.1
203","48.2
176","47.1
123","30.4
286","39.1
281","63
286","-4.6
295"
2020,Youngstown St.,3,"102.8
150","115.2
339",".2126
296","45.8
299","51.7
253","16.1
57","14.3
336","38
8","33.1
313","33.1
166","31.1
154","45
310","50.4
213","31.4
251","36.4
273","66.7
264","-4
279"
2019,"Bradley
15 seed, R64",3,"91.2
331","102.1
159",".2153
296","45.4
317","49.7
126","21
283","18
212","27.2
202","24.7
75","31.9
199","34
196","41.6
345","49.6
154","35.5
136","33.2
127","65.6
315","-4.5
303"
2018,South Alabama,2,"95.2
304","107.9
239",".1928
296","47.3
296","52.5
229","20.6
289","20.4
84","24.3
287","32.2
282","40.1
57","35.9
238","51.8
116","52.8
266","27.4
347","34.6
150","71.5
54","-3.5
252"
2017,Prairie View A&M,5,"95.9
290","107.9
247",".2062
296","52.7
108","47.9
74","19.5
231","20.9
67","25.4
272","29
174","41
79","47.8
330","51.3
128","48.8
141","36.6
121","30.9
59","68.2
225","-3.7
265"
2016,Alcorn St.,6,"99.1
259","112.7
303",".1852
296","46.7
285","49.2
143","20.8
300","16.6
245","35.9
29","30.4
212","40.3
115","46.7
312","45.5
270","46.3
86","32.9
245","36.3
220","65.8
292","-2.5
193"
2015,Elon,3,"95.1
290","106.9
252",".2071
296","46.5
257","53.4
310","17.9
130","20.7
83","28
255","32.2
215","43.9
59","43.8
280","43.9
289","49.9
242","34.4
163","40.5
322","68.6
29","-5.4
323"
2014,UC Davis,2,"105.6
156","119.2
341",".1992
296","55.9
24","58.7
349","18.6
193","18.1
180","23.3
334","34.7
284","37.4
235","35
82","51.5
71","58.1
346","40.8
36","40
313","66.3
151","-3.1
240"
2013,Georgia Southern,3,"97.4
224","111.0
313",".1826
296","47.9
183","51.1
255","20.8
230","20.3
148","34.3
93","35.3
278","33
229","34.8
153","48.3
135","50.2
265","31.3
251","35.1
201","61.3
318","-4.9
301"
